Fahrenheit		Celsius
----------------------------------
 32.0			 0.0
 33.0			 0.6
 34.0			 1.1
 35.0			 1.7
 36.0			 2.2
 37.0			 2.8
 38.0			 3.3
 39.0			 3.9
 40.0			 4.4
 41.0			 5.0
 42.0			 5.6
 43.0			 6.1
 44.0			 6.7
 45.0			 7.2
 46.0			 7.8
 47.0			 8.3
 48.0			 8.9
 49.0			 9.4
 50.0			 10.0
 51.0			 10.6
 52.0			 11.1
 53.0			 11.7
 54.0			 12.2
 55.0			 12.8
 56.0			 13.3
 57.0			 13.9
 58.0			 14.4
 59.0			 15.0
 60.0			 15.6
 61.0			 16.1
 62.0			 16.7
 63.0			 17.2
 64.0			 17.8
 65.0			 18.3
 66.0			 18.9
 67.0			 19.4
 68.0			 20.0
 69.0			 20.6
 70.0			 21.1
 71.0			 21.7
 72.0			 22.2
 73.0			 22.8
 74.0			 23.3
 75.0			 23.9
 76.0			 24.4
 77.0			 25.0
 78.0			 25.6
 79.0			 26.1
 80.0			 26.7
 81.0			 27.2
 82.0			 27.8
 83.0			 28.3
 84.0			 28.9
 85.0			 29.4
 86.0			 30.0
 87.0			 30.6
 88.0			 31.1
 89.0			 31.7
 90.0			 32.2
 91.0			 32.8
 92.0			 33.3
 93.0			 33.9
 94.0			 34.4
 95.0			 35.0
 96.0			 35.6
 97.0			 36.1
 98.0			 36.7
 99.0			 37.2
 100.0			 37.8
 101.0			 38.3
 102.0			 38.9
 103.0			 39.4
 104.0			 40.0
 105.0			 40.6
 106.0			 41.1
 107.0			 41.7
 108.0			 42.2
 109.0			 42.8
 110.0			 43.3
 111.0			 43.9
 112.0			 44.4
 113.0			 45.0
 114.0			 45.6
 115.0			 46.1
 116.0			 46.7
 117.0			 47.2
 118.0			 47.8
 119.0			 48.3
 120.0			 48.9
 121.0			 49.4
 122.0			 50.0
 123.0			 50.6
 124.0			 51.1
 125.0			 51.7
 126.0			 52.2
 127.0			 52.8
 128.0			 53.3
 129.0			 53.9
 130.0			 54.4
 131.0			 55.0
 132.0			 55.6
 133.0			 56.1
 134.0			 56.7
 135.0			 57.2
 136.0			 57.8
 137.0			 58.3
 138.0			 58.9
 139.0			 59.4
 140.0			 60.0
 141.0			 60.6
 142.0			 61.1
 143.0			 61.7
 144.0			 62.2
 145.0			 62.8
 146.0			 63.3
 147.0			 63.9
 148.0			 64.4
 149.0			 65.0
 150.0			 65.6
 151.0			 66.1
 152.0			 66.7
 153.0			 67.2
 154.0			 67.8
 155.0			 68.3
 156.0			 68.9
 157.0			 69.4
 158.0			 70.0
 159.0			 70.6
 160.0			 71.1
 161.0			 71.7
 162.0			 72.2
 163.0			 72.8
 164.0			 73.3
 165.0			 73.9
 166.0			 74.4
 167.0			 75.0
 168.0			 75.6
 169.0			 76.1
 170.0			 76.7
 171.0			 77.2
 172.0			 77.8
 173.0			 78.3
 174.0			 78.9
 175.0			 79.4
 176.0			 80.0
 177.0			 80.6
 178.0			 81.1
 179.0			 81.7
 180.0			 82.2
 181.0			 82.8
 182.0			 83.3
 183.0			 83.9
 184.0			 84.4
 185.0			 85.0
 186.0			 85.6
 187.0			 86.1
 188.0			 86.7
 189.0			 87.2
 190.0			 87.8
 191.0			 88.3
 192.0			 88.9
 193.0			 89.4
 194.0			 90.0
 195.0			 90.6
 196.0			 91.1
 197.0			 91.7
 198.0			 92.2
 199.0			 92.8
 200.0			 93.3
 201.0			 93.9
 202.0			 94.4
 203.0			 95.0
 204.0			 95.6
 205.0			 96.1
 206.0			 96.7
 207.0			 97.2
 208.0			 97.8
 209.0			 98.3
 210.0			 98.9
 211.0			 99.4
 212.0			 100.0
